dup_group,group_size,row_index,Catalog,FIRST_ID,RA,Dec,z,Flux_FIRST_1400MHz,Host_name
410,2,3344,Sasmal,J114936.3+313632,177.4013333,31.60902778,,10.0,
411,2,3366,Lao,J115243.4+340539,178.18253,34.09334,0.44683,98.38,WISEA J115243.80+340536.0
411,2,3367,Sasmal,J115243.6+340533,178.1819167,34.09275,,35.0,
412,2,3369,Lao,J115307.5+460234,178.28355,46.04567,0.36266,55.25,WISEA J115308.05+460244.3
412,2,6651,Mirabest,,178.28355,46.04567,0.3627,,
413,2,3382,Lao,J115416.5+100943,178.56924,10.16109,0.21761,45.29,WISEA J115416.61+100939.9
413,2,3381,Sasmal,J115416.5+100940,178.5690417,10.16122222,,46.0,
414,2,3386,Lao,J115424.4+020649,178.60244,2.11477,0.13242,74.5,WISEA J115424.58+020653.1
414,2,6375,Mirabest,,178.60236,2.11471,0.1324,,
415,2,3388,Lao,J115434.1+363542,178.64504,36.59439,0.11556,43.73,WISEA J115434.80+363539.8
415,2,3389,Sasmal,J115434.8+363539,178.6450833,36.59441667,0.11,42.0,
416,2,3394,Lao,J115500.6-012548,178.75198,-1.43107,0.16348,142.11,DESI J115500.48-012552.0
416,2,3393,Sasmal,J115500.4-012552,178.752,-1.431111111,,112.0,
417,2,3398,Lao,J115513.3-003147,178.80694,-0.52607,0.13215,163.86,WISEA J115513.66-003133.8
417,2,6314,Mirabest,,178.806885,-0.5261,0.1322,,
418,2,3414,Lao,J115638.4+204853,179.16058,20.81313,0.14638,20.16,WISEA J115638.53+204847.2
418,2,3415,Sasmal,J115638.8+204847,179.1617917,20.81319444,0.15,19.0,
419,2,3423,Lao,J115821.1+003713,179.58877,0.6184,0.27193,20.93,WISEA J115821.30+003706.2
419,2,3424,Sasmal,J115821.3+003708,179.5889167,0.6189166667,,22.0,
420,2,3430,Lao,J115853.8+094632,179.72388,9.77518,0.22647,19.7,DESI J115853.73+094630.7
420,2,3431,Sasmal,J115854.0+094631,179.7250417,9.775527778,,20.0,
421,2,3447,Lao,J120118.0+061859,180.3258,6.31648,0.13505,54.85,WISEA J120118.19+061859.3
421,2,6687,Mirabest,,180.325815,6.31648,0.135,,
422,2,3450,Lao,J120126.7-070312,180.35724,-7.05313,0.23634,206.89,DESI J120125.74-070311.3
