widx,Catalog,FIRST_ID,RA,Dec,z,FR0,FRI,FRII,WAT,NAT,HT,Confused,Double_Double,Diffuse,L_1.4GHz_log,M_{BH},alpha,NVSS_ID,Plate,Julian,Fibre,Host_name,f_name,f_Seq,Other,PosRef,Offset,f_z,Flux_FIRST_1400MHz,Flux_NVSS_1400MHz,Flux_3000MHz,Flux_150MHz,RCl,Size_rad,LAS,OA,Rc,g-r,Mr,Mstar,R_50,D_4000,C,mu_50,eta,Q,n,PCA1,PCA2,L_[OIII],HERG-LERG,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
36,Lao,J000730.0+123324,1.87566,12.55697,0.71128,False,True,False,True,False,False,False,False,False,25.18,9.77,0.16,,,,,WISEA J000730.15+123325.0,,,,,,s,9.9,,8.78,,,163,22,156.4,19,2,-22.48,,,,,,,,,,,,,WH J000730.2+123325,0.7104,s,2616,1,7,0.548,22.17,1.01,6
37,Lao,J000806.3+015933,2.02587,1.99294,0.36942,False,True,False,True,False,False,False,False,False,25.16,8.45,0.75,,,,,WISEA J000806.20+015934.5,,,,,,s,31.43,,17.8,,,137,26,136.1,20.8,1.8,-22.46,,,,,,,,,,,,,AMF J000810.4+020112,0.3667,s,1484,116,611,1.03,90.19,3.95,59
38,Mirabest,J000809.1-010740,2.0381346,-1.12785,0.0426,False,False,True,False,False,False,False,False,False,23.23,,,J000809-010740,701,52179,129,,,,,,0.68,s,6.3,40.3,,,2,45.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Mirabest,J000858.4+004235,2.243678,0.70981,0.29,False,False,True,False,False,False,False,False,False,25.47,,,J000858+004235,405,51816,442,,,,,,1.11,s,50.6,118.8,,,2,30.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Lao,J000905.2+070828,2.27176,7.14137,,False,False,True,True,False,False,False,False,False,,,0.97,,,,,,,,,,,,35.63,,17.04,,,,30,138.9,21.5,1.07,,,,,,,,,,,,,,,,,,,,,,,
41,Mirabest,J001001.8+010849,2.5077939,1.14716,0.2673,False,True,False,True,False,False,False,False,False,25.37,,,J001001+010849,407,51820,408,,,,,,2.96,s,2,115,,,2,31.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Mirabest,J001103.9-064900,2.7662621,-6.81686,0.1386,False,False,True,False,False,False,True,False,False,24.7,,,J001103-064900,456,51910,449,,,,,,1.56,s,5.3,102,,,4,79.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Mirabest,J001129.8-075605,2.8743126,-7.93479,0.07813,True,False,False,False,False,False,False,False,False,,8.42,,J001129-075605,457,51901,193,,,,,,0.91,s,87.7,99.7,,,1,,,,,1,,11.29,4.65467872045504,1.95,3,9.15604,-0.795,-2.22,-99,-0.393,0.165,5.9,0,,,,,,,,,,
44,Lao,J001134.7+053558,2.89479,5.59961,,False,False,True,True,False,False,False,False,False,,,1.1,,,,,,,,,,,,118.05,,50.97,,,,49,146.2,34.7,0.67,,,,,,,,,,,,,,,,,,,,,,,
45,Lao,J001155.4-020717,2.97933,-2.12042,0.40831,False,False,False,True,False,False,False,False,False,25.61,,1.28,,,,,DESI J001155.04-020713.5,,,,,,p,58.47,,22.1,,,309,55,131.9,40.9,1.69,,,,,,,,,,,,,,CFSFDP J001206.3-020713,0.5017,s,1957,168,1061,0.461,17.26,0.79,11
46,Lao,J001203.7-045009,3.01245,-4.83768,0.91337,False,False,True,True,False,False,False,False,False,26.65,,1.34,,,,,DESI J001202.99-045015.7,,,,,,p,80.66,,29.15,,,483,60,132,38.8,,,,,,,,,,,,,,,,,,,,,,,,
47,Lao,J001215.2+092009,3.06202,9.3357,0.54019,False,False,True,True,False,False,False,False,False,25.84,8.88,0.86,,,,,WISEA J001214.88+092008.5,,,,,,s,59.01,,30.59,,,236,36,126.4,22.4,2.01,-24.08,,,,,,,,,,,,,WHL J001214.9+092009,0.5402,s,2085,0,0,0.834,61.31,2.72,27
48,Sasmal,J001248.6-060703,3.20258333333333,-6.11752777777778,0.2,False,False,True,False,True,False,False,False,False,24.8601718965431,,,,,,,,,,15,2MASX,,s,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Lao,J001248.7-060652,3.2027,-6.11754,0.202,False,False,True,False,True,False,False,False,False,24.92,8.34,0.94,,,,,WISEA J001248.64-060703.1,f,,,,,s,66.27,,32.27,,,99,29,36.1,6.1,1.3,-23.11,,,,,,,,,,,,,WHL J001252.1-060715,0.2035,s,860,53,184,0.923,57.12,2.54,29
50,Lao,J001506.5+120304,3.77799,12.05165,0.47987,False,False,True,True,False,False,False,False,False,25.37,,0.51,,,,,SDSS J001506.71+120305.9,,,,,,s,30.43,,20.58,,,178,29,169.7,30.1,1.65,-22.44,,,,,,,,,,,,,CFSFDP J001511.6+120206,0.8285,p,2953,93,728,0.559,23.73,1.08,9
51,Lao,J001519.1-014314,3.82785,-1.72143,1.06066,False,False,True,True,False,False,False,False,False,26.32,,1.2,,,,,DESI J001518.68-014317.1,,,,,,p,28.25,,11.3,,,359,43,154.6,41.6,2.95,,,,,,,,,,,,,,WH J001522.3-014511,0.9889,p,3374,126,1036,0.418,10.86,0.51,6
52,Lao,J001522.6+000922,3.84514,0.15604,0.44015,False,False,True,True,False,False,False,False,False,25.79,8.59,0.98,,,,,WISEA J001522.83+000921.7,,,,,,s,82.3,,38.99,,,235,40,151.2,36.4,1.88,-23.71,,,,,,,,,,,,,WHL J001522.8+000922,0.444,s,1760,0,0,0.937,82.5,3.62,34
53,Lao,J001542.7-004841,3.92821,-0.81299,0.15426,False,True,False,True,False,False,False,False,False,24.95,8.28,1.09,,,,,WISEA J001542.77-004846.7,,,,,,s,125.67,,54.57,,,141,51,158.8,51,1.14,-22.61,,,,,,,,,,,,,maxBCG J001542.8-004847,0.1543,s,661,0,0,0.583,17.62,0.81,13
54,Lao,J001643.1-064407,4.1783,-6.73642,0.40404,False,False,False,True,False,False,False,False,False,25.67,8.99,0.97,,,,,SDSS J001642.79-064411.1,,,,,,s,76.89,,36.77,,,268,48,131.5,22.6,1.84,-23.12,,,,,,,,,,,,,WHL J001642.8-064411,0.4071,s,1630,0,0,0.7,33.2,1.5,17
55,Sasmal,J001732.2-014923,4.3845,-1.82325,,False,False,True,True,False,False,False,False,False,,,,,,,,,,a,,EE,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sasmal,J001737.7+082752,4.40708333333333,8.46469444444444,,False,True,False,False,True,False,False,False,False,,,,,,,,,,,,EE,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Lao,J001802.1-081714,4.50854,-8.28602,0.62522,False,False,False,True,False,False,False,False,False,25.59,8.36,0.71,,,,,WISEA J001802.05-081709.6,,,,,,s,25.69,,14.93,,,210,30,137.4,21.4,1.81,-22.9,,,,,,,,,,,,,Y21 J001802.0-081710,0.6251,s,2357,0,0,0.675,38.28,1.72,17
58,Lao,J001835.7+121222,4.64747,12.20463,0.18109,False,False,False,True,False,False,False,False,False,24.48,,0.89,,,,,DESI J001835.39+121216.7,,,,,,p,31.11,,15.83,,,91,29,99,14.6,1.28,,,,,,,,,,,,,,AMF J001836.0+121210,0.205,p,866,10,35,0.643,19.55,0.9,10
59,Lao,J001916.9-010402,4.82278,-1.06599,0.37181,False,False,True,True,False,False,False,False,False,25.68,8.34,0.61,,,,,DESI J001917.47-010357.6,,,,,,s,107.07,,67.34,,,355,67,142.9,343,1.45,-22.51,,,,,,,,,,,,,,,,,,,,,,
60,Lao,J001933.9+113322,4.89148,11.55604,0.54945,False,False,True,True,False,False,False,False,False,25.15,7.57,0.29,,,,,WISEA J001933.95+113321.7,,,,,,s,15.1,,12.07,,,158,24,169,40,1.55,-21.89,,,,,,,,,,,,,WH J001934.0+113322,0.5494,s,2115,0,0,0.376,10.8,0.5,6
61,Lao+Sasmal,J002008.0-095053,5.03323,-9.84763,0.83875,False,False,False,True,False,False,False,False,False,25.53,,0.58,,,,,DESI J002007.97-095051.5,f,,1,EE,,p,12.26,,7.88,,,212,27,163,33.2,1.91,,,,,,,,,,,,,,WH J002008.0-095051,0.8605,p,3040,0,0,0.47,21.08,0.96,8
