RA,Dec,z,"L_rad,t",Size_rad,M_{BH},g-r,FRI,FRII,WAT,NAT,source_name,f_name,Host_name,f_z,Type,S1400MHz,S3000MHz,alpha,OA,Rc,LAS,Mr,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
113.31503,64.03861,0.43121,26.1,98.0,,,True,False,True,False,J073316.01+640218.8,,DESI J073315.61+640219.0,p,"FR-I,WAT",88.14,9.83,2.88,102.9,8.2,17,,Y21 J073315.6+640219,0.4279,p,1704.0,0.0,0.0,0.742,36.61,1.65,21.0
113.34285,64.04982,0.54168,26.15,361.0,,,False,False,True,False,J073322.25+640258.9,,DESI J073322.28+640259.3,p,"--,WAT",99.55,37.33,1.29,163.3,74.4,55,,,,,,,,,,,
113.34494,23.04287,0.786,25.6,238.0,,2.08,True,False,True,False,J073322.88+230238.3,,SDSS J073322.78+230234.3,s,"FR-I,WAT",19.01,14.78,0.33,125.6,16.6,31,,,,,,,,,,,
113.41975,49.50953,0.35124,24.58,97.0,,,True,False,True,False,J073340.78+493031.3,,DESI J073340.74+493034.3,p,"FR-I,WAT",9.95,7.02,0.46,132.5,9.1,19,,Y21 J073340.7+493029,0.3354,p,1369.0,5.0,25.0,1.195,144.35,6.23,81.0
113.52532,29.55355,,,,,,True,False,True,False,J073406.08+293312.8,"c,f",,,"FR-I,WAT",105.63,57.67,0.79,142.2,23.6,37,,,,,,,,,,,
113.67436,36.19162,0.43209,25.57,244.0,8.81,1.89,False,True,True,False,J073442.31+361139.8,"f,j",SDSS J073441.84+361129.6,s,"FR-II,WAT",47.17,18.59,1.22,103.2,15.8,42,-22.83,WHL J073441.9+361130,0.4321,s,1718.0,0.0,0.0,0.59,26.78,1.22,11.0
113.87543,63.7848,0.28378,25.31,137.0,,,True,False,True,False,J073529.78+634706.4,,DESI J073530.10+634705.3,p,"FR-I,WAT",82.45,51.86,0.61,144.7,115.4,31,,Y21 J073530.1+634705,0.2838,p,1175.0,0.0,0.0,0.644,22.05,1.01,9.0
113.91592,25.17237,0.0856,24.67,179.0,,,False,False,True,False,J073540.04+251010.1,"g,j",DESI J073539.82+251020.5,s,"--,WAT",233.01,87.68,1.28,133.5,70.3,108,,WHL J073539.8+251020,0.0856,s,373.0,0.0,0.0,0.88,37.21,2.12,17.0
113.91852,36.32005,0.12827,24.61,45.0,,1.14,True,False,False,True,J073540.42+361918.5,j,DESI J073540.44+361912.2,p,"FR-I,NAT",77.53,16.58,2.02,52.1,6.6,19,,CFSFDP J073540.4+361912,0.1283,p,553.0,0.0,0.0,0.529,12.37,0.58,7.0
113.92878,35.34225,0.01207,22.48,7.0,,0.47,True,False,True,False,J073542.72+352032.3,,DESI J073542.91+352032.1,p,"FR-I,WAT",86.83,43.91,0.89,147.1,137.2,28,,WH J073540.4+351901,0.8964,p,3136.0,96.0,770.0,0.584,32.71,1.48,14.0
113.98839,22.14517,,,,,,False,True,True,False,J073557.21+220842.6,,,,"FR-II,WAT",234.4,109.51,1.0,97.1,12.6,35,,,,,,,,,,,
114.05357,32.20533,0.21539,24.27,90.0,,0.59,False,True,True,False,J073612.98+321211.4,,DESI J073612.86+321219.2,p,"FR-II,WAT",14.04,9.44,0.52,105.7,36.2,25,,,,,,,,,,,
114.07133,18.95283,,,,,,True,False,True,False,J073617.00+185701.8,f,DESI J073617.12+185710.2,,"FR-I,WAT",467.79,130.83,1.67,145.3,40.2,66,,AMF J073617.1+185710,0.0972,s,422.0,0.0,0.0,0.966,57.62,2.56,38.0
114.07541,24.17851,0.14709,25.46,178.0,8.81,1.15,True,False,False,True,J073618.88+241111.9,g,SDSS J073618.09+241042.6,s,"FR-I,NAT",443.73,172.95,1.24,52.6,19.1,67,-23.03,AMF J073618.1+241043,0.1483,s,636.0,0.0,0.0,0.947,58.04,2.58,31.0
114.09553,41.72696,,,,,,False,True,True,False,J073622.93+414337.1,,,,"FR-II,WAT",15.66,10.3,0.55,148.1,28.1,36,,,,,,,,,,,
114.24206,43.48393,0.2731,25.46,297.0,,1.35,True,False,True,False,J073658.15+432856.1,,WISEA J073658.09+432902.1,s,"FR-I,WAT",85.74,15.53,2.24,116.7,37.3,69,,,,,,,,,,,
114.293,20.93762,0.56516,25.56,234.0,,1.95,False,True,True,False,J073710.34+205616.5,,DESI J073710.32+205615.4,p,"FR-II,WAT",25.13,10.74,1.12,167.9,112.4,35,,AMF J073710.3+205615,0.5755,s,2200.0,0.0,0.0,0.87,70.32,3.1,40.0
114.35538,47.63908,0.26375,25.02,172.0,,1.66,False,False,False,True,J073725.19+473822.1,,WISEA J073725.29+473820.6,s,"--,NAT",45.89,21.78,0.98,65.6,242.3,41,,WHL J073710.9+473735,0.349,p,1420.0,152.0,775.0,0.58,17.24,0.79,12.0
114.3888,34.83026,0.57818,25.75,291.0,,1.72,True,False,True,False,J073733.54+344946.7,,WISEA J073733.31+344948.9,s,"FR-I,WAT",41.09,21.52,0.85,168.0,174.6,43,,AMF J073721.0+345123,0.299,s,1233.0,178.0,819.0,0.7,28.46,1.29,19.0
114.4279,59.93597,,,,,,False,True,True,False,J073742.70+595609.5,,,,"FR-II,WAT",92.99,40.64,1.09,116.2,19.1,43,,,,,,,,,,,
114.46764,19.72694,0.56983,25.73,229.0,8.33,1.93,False,True,True,False,J073752.11+194337.6,,WISEA J073752.23+194336.9,s,"FR-II,WAT",32.7,11.9,1.33,159.9,69.5,34,-23.19,WHL J073752.2+194337,0.5699,s,2182.0,0.0,0.0,0.604,25.47,1.16,13.0
114.54877,45.70376,0.763,25.91,205.0,9.18,1.86,False,True,True,False,J073811.30+454215.6,,SDSS J073811.70+454213.5,s,"FR-II,WAT",29.56,14.65,0.92,109.5,12.0,27,-21.87,WH J073811.7+454214,0.763,s,2769.0,0.0,0.0,0.464,17.15,0.79,8.0
114.67419,63.49441,,,,,,True,False,False,True,J073841.81+632939.9,,,,"FR-I,NAT",13.73,7.3,0.83,81.5,7.0,15,,,,,,,,,,,
114.68626,35.84511,0.21637,25.31,112.0,8.83,1.33,True,False,True,False,J073845.13+355046.1,,2MASX J07384471+3550424,s,"FR-I,WAT",151.34,101.35,0.53,105.7,14.1,31,-23.16,AMF J073844.7+355042,0.2164,s,912.0,0.0,0.0,0.953,62.87,2.78,31.0
114.7065,41.98546,0.17945,25.04,172.0,8.68,1.27,True,False,False,True,J073848.31+415925.8,"f,h,j",WISEA J073849.56+415907.6,s,"FR-I,NAT",103.33,31.01,1.58,49.3,23.1,55,-22.8,WHL J073849.5+415908,0.1795,s,764.0,0.0,0.0,0.83,41.13,1.84,21.0
114.70363,32.33796,0.7357,26.28,262.0,,1.77,False,False,True,False,J073848.85+322022.8,,DESI J073848.87+322016.7,p,"--,WAT",80.91,43.8,0.81,100.4,13.1,35,,WH J073854.2+321851,0.3237,s,1326.0,109.0,529.0,0.555,19.25,0.88,9.0
114.72836,38.77444,0.30873,25.61,399.0,,1.71,False,False,True,False,J073855.62+384618.6,f,DESI J073854.81+384628.0,p,"--,WAT",126.85,62.96,0.92,121.3,120.2,85,,WHL J073854.8+384628,0.3152,p,1294.0,0.0,0.0,0.95,77.98,3.43,28.0
114.75965,42.46054,1.08991,26.12,226.0,,,False,False,True,False,J073902.05+422739.0,,DESI J073902.32+422737.9,p,"--,WAT",27.57,18.61,0.52,136.7,102.9,27,,,,,,,,,,,
114.76962,44.46734,0.12762,23.99,108.0,,1.93,True,False,True,False,J073904.14+442804.2,,DESI J073904.71+442802.4,p,"FR-I,WAT",21.0,9.53,1.04,143.8,33.1,46,,WH J073851.4+442800,0.8437,p,2994.0,142.0,1118.0,0.411,11.99,0.56,6.0
114.80896,21.264,0.6772,25.25,101.0,,1.97,True,False,False,True,J073914.35+211549.2,,WISEA J073914.15+211550.3,s,"FR-I,NAT",11.37,8.45,0.39,61.8,7.4,14,,WHL J073914.2+211551,0.6773,s,2517.0,0.0,0.0,0.683,38.78,1.74,20.0
114.87218,26.10897,0.29942,24.74,124.0,,1.59,True,False,False,True,J073929.07+260629.8,,DESI J073929.32+260632.3,p,"FR-I,NAT",19.19,10.91,0.74,77.9,8.4,27,,WHL J073933.0+260724,0.2999,s,1236.0,72.0,332.0,0.68,18.39,0.84,9.0
114.88099,39.78881,0.09766,24.39,112.0,,1.05,True,False,False,True,J073929.76+394705.8,,WISEA J073931.43+394719.7,s,"FR-I,NAT",90.25,27.16,1.58,32.6,15.2,60,,WH J073936.5+394705,0.9002,p,3146.0,60.0,482.0,0.445,17.8,0.82,6.0
115.01683,21.24973,0.7916,25.75,215.0,,2.11,False,True,True,False,J074004.31+211459.8,,DESI J074004.04+211459.0,p,"FR-II,WAT",26.27,19.79,0.37,156.3,36.0,28,,,,,,,,,,,
115.09841,47.45185,0.57604,25.62,223.0,,1.23,False,True,True,False,J074023.04+472704.7,,DESI J074023.62+472706.7,p,"FR-II,WAT",32.35,18.39,0.74,112.4,21.8,33,,WHL J074034.0+472743,0.4924,s,1926.0,111.0,694.0,0.656,23.33,1.06,12.0
115.10633,48.85705,0.90156,25.74,232.0,,1.82,False,False,True,False,J074025.09+485121.0,c,DESI J074025.52+485125.4,p,"--,WAT",17.82,12.36,0.48,99.1,12.4,29,,,,,,,,,,,
115.17877,34.97041,,,,,,True,False,True,False,J074042.90+345813.5,,,,"FR-I,WAT",30.35,7.09,1.91,129.2,8.7,20,,,,,,,,,,,
115.25618,26.34313,,,,,2.08,True,False,True,False,J074101.48+262035.3,f,,,"FR-I,WAT",10.34,5.38,0.86,99.2,8.7,21,,,,,,,,,,,
115.31451,16.54837,0.10131,24.13,32.0,8.16,0.99,True,False,True,False,J074115.74+163257.3,,WISEA J074115.48+163254.1,s,"FR-I,WAT",40.97,5.4,2.66,116.1,12.4,17,-22.21,WHL J074118.0+163156,0.1849,s,786.0,68.0,219.0,0.89,38.26,2.18,17.0
115.32529,16.53233,0.1849,24.9,131.0,,1.01,False,False,True,False,J074118.50+163157.9,j,WISEA J074118.07+163156.3,s,"--,WAT",62.88,12.61,2.11,135.1,18.2,41,,AMF J074118.0+163156,0.1013,s,440.0,0.0,0.0,0.716,23.8,1.08,14.0
115.33659,58.86128,0.37064,25.64,238.0,,,False,False,True,False,J074119.56+585142.8,,DESI J074120.78+585140.6,p,"--,WAT",87.97,41.74,0.98,125.9,57.5,45,,Y21 J074120.8+585141,0.3936,p,1582.0,0.0,0.0,0.742,37.67,1.69,28.0
115.48384,58.31502,0.43797,25.16,252.0,,,False,True,True,False,J074155.82+581858.8,,DESI J074156.12+581854.1,p,"FR-II,WAT",21.89,13.39,0.64,140.7,40.1,43,,,,,,,,,,,
115.48332,36.76613,0.20253,24.66,148.0,8.29,1.43,True,False,True,False,J074156.04+364554.6,,WISEA J074155.99+364558.0,s,"FR-I,WAT",36.23,17.38,0.96,162.0,41.8,43,-23.34,WHL J074156.1+364558,0.2025,s,856.0,1.0,3.0,0.71,18.64,1.0,8.0
115.52584,47.35406,0.51589,25.1,115.0,,1.88,True,False,True,False,J074206.31+472116.2,,DESI J074206.20+472114.6,p,"FR-I,WAT",14.95,11.44,0.35,113.5,10.1,18,,CFSFDP J074206.2+472115,0.5066,s,1974.0,0.0,0.0,0.588,19.8,0.91,14.0
115.70021,58.39485,0.62207,25.31,140.0,,,False,True,True,False,J074248.71+582346.3,,DESI J074248.05+582341.5,p,"FR-II,WAT",15.83,11.78,0.39,91.2,10.3,20,,Y21 J074253.6+582456,0.5865,p,2235.0,86.0,587.0,0.741,42.51,1.9,17.0
115.77175,27.17012,0.38009,25.75,290.0,,0.65,True,False,False,True,J074305.69+271029.1,"f,j",DESI J074305.22+271012.4,p,"FR-I,NAT",111.98,61.31,0.79,84.9,19.4,54,,WHL J074300.8+270828,0.2624,p,1092.0,120.0,503.0,0.79,28.64,1.6,20.0
115.79638,52.06074,0.50907,25.33,184.0,,,True,False,False,True,J074310.59+520347.9,,DESI J074311.13+520338.6,p,"FR-I,NAT",21.95,11.99,0.79,77.4,16.3,29,,Y21 J074311.1+520339,0.5117,p,1991.0,0.0,0.0,0.594,19.76,0.91,9.0
115.79477,18.37727,,,,,,False,True,True,False,J074310.74+182238.2,,,,"FR-II,WAT",20.45,14.05,0.49,136.7,17.3,33,,,,,,,,,,,
115.84622,17.56172,0.1001,25.07,101.0,8.49,1.0,True,False,False,True,J074324.52+173352.9,,WISEA J074323.09+173342.1,s,"FR-I,NAT",428.6,186.58,1.09,63.4,80.8,53,-22.97,WHL J074323.1+173342,0.1001,s,434.0,0.0,0.0,1.0,64.89,2.87,55.0
115.87718,44.22225,0.73546,25.48,285.0,,2.03,False,True,True,False,J074331.02+441320.0,,SDSS J074330.52+441320.1,s,"FR-II,WAT",14.06,8.73,0.63,122.8,30.2,38,,,,,,,,,,,
115.94994,51.57141,0.39379,25.31,148.0,,,False,False,True,False,J074347.73+513416.0,,DESI J074347.99+513417.1,p,"--,WAT",35.0,16.24,1.01,153.9,199.0,27,,Y21 J074339.5+513417,0.3981,p,1598.0,79.0,438.0,0.765,39.21,1.76,20.0
115.98475,32.47709,0.54341,25.16,171.0,,1.99,False,True,True,False,J074355.92+322835.6,,DESI J074356.34+322837.5,p,"FR-II,WAT",11.13,4.91,1.07,110.1,10.0,26,,CAMIRA J074400.6+322918,0.5403,p,2085.0,68.0,446.0,0.818,58.66,2.6,30.0
116.04648,27.67069,,,,,,False,False,True,False,J074411.16+274014.5,c,,,"--,WAT",8.55,3.53,1.16,130.4,8.3,16,,,,,,,,,,,
116.05612,60.26034,,,,,,False,True,True,False,J074413.47+601537.2,,,,"FR-II,WAT",8.6,6.69,0.33,147.9,10.0,18,,,,,,,,,,,
116.23069,21.64237,0.26374,25.09,147.0,,0.23,False,False,True,False,J074455.93+213831.8,,DESI J074455.37+213832.5,p,"--,WAT",58.6,37.93,0.57,108.4,18.1,35,,WHL J074455.7+213817,0.3533,s,1435.0,16.0,82.0,0.716,36.48,1.64,13.0
116.24758,16.98314,0.30149,25.1,143.0,,1.55,False,True,True,False,J074459.81+165859.4,f,DESI J074459.42+165859.3,p,"FR-II,WAT",43.28,25.28,0.71,125.1,13.6,31,,,,,,,,,,,
116.27008,33.21563,0.21967,25.55,216.0,,1.45,True,False,True,False,J074505.45+331251.0,,DESI J074504.83+331256.5,s,"FR-I,WAT",230.07,104.89,1.03,136.4,39.1,59,,maxBCG J074504.8+331256,0.2201,s,926.0,0.0,0.0,0.981,68.31,3.02,56.0
116.43786,22.29003,0.46546,25.23,145.0,,1.89,True,False,True,False,J074544.81+221730.2,,WISEA J074545.08+221724.1,s,"FR-I,WAT",19.14,8.46,1.07,118.2,25.3,24,,CFSFDP J074545.1+221724,0.465,s,1832.0,0.0,0.0,0.59,15.74,0.73,12.0
116.58953,36.0147,0.55184,25.68,238.0,9.26,1.93,True,False,True,False,J074621.56+360055.0,,WISEA J074621.48+360052.9,s,"FR-I,WAT",37.36,17.8,0.97,166.4,58.4,36,-22.95,CAMIRA J074630.8+355923,0.5494,s,2115.0,145.0,960.0,0.764,50.44,2.25,21.0
116.60647,26.35124,1.18971,26.48,579.0,,,False,False,True,False,J074625.77+262110.4,,DESI J074625.55+262104.5,p,"--,WAT",45.78,27.45,0.67,167.5,118.7,68,,WH J074622.6+262210,0.4171,p,1665.0,77.0,439.0,0.504,17.77,0.82,8.0
116.62365,18.90321,0.30193,25.02,189.0,,1.56,False,True,True,False,J074629.87+185420.3,,DESI J074629.68+185411.6,p,"FR-II,WAT",34.96,18.41,0.84,139.6,63.3,41,,,,,,,,,,,
116.65865,21.19533,,,,,,False,True,True,False,J074638.08+211143.2,,,,"FR-II,WAT",14.7,8.26,0.76,167.7,,48,,,,,,,,,,,
116.65763,52.01333,0.91342,26.29,483.0,,1.16,False,True,True,False,J074638.24+520049.2,,DESI J074637.83+520048.0,p,"FR-II,WAT",55.93,34.99,0.62,150.3,221.1,60,,,,,,,,,,,
116.69432,22.42245,0.48816,25.55,205.0,8.56,1.97,False,False,True,False,J074646.98+222523.0,,WISEA J074646.63+222520.8,s,"--,WAT",41.72,24.63,0.69,137.9,30.4,33,-23.39,WHL J074644.4+222439,0.4882,s,1912.0,52.0,324.0,0.914,75.9,3.34,34.0
116.73787,52.77214,0.21269,25.38,423.0,,,False,False,True,False,J074658.05+524616.4,,DESI J074657.09+524619.7,p,"--,WAT",161.55,61.28,1.27,168.3,,118,,,,,,,,,,,
116.77123,28.93021,0.26049,25.44,287.0,8.73,1.5,True,False,True,False,J074704.46+285546.6,,WISEA J074705.09+285548.7,s,"FR-I,WAT",125.68,64.58,0.87,104.7,8.1,69,-22.93,WHL J074705.1+285549,0.2605,s,1085.0,0.0,0.0,0.724,31.54,1.43,26.0
116.91358,30.22532,0.47913,25.0,154.0,7.55,1.87,True,False,True,False,J074739.40+301330.3,,WISEA J074739.25+301331.1,s,"FR-I,WAT",12.57,7.93,0.6,167.4,176.2,25,-23.54,WH J074739.3+301331,0.4791,s,1881.0,0.0,0.0,0.562,25.05,1.14,12.0
117.12561,48.83199,0.60717,25.14,180.0,8.73,1.93,False,False,True,False,J074830.38+484953.1,f,WISEA J074830.14+484955.1,s,"--,WAT",11.01,7.84,0.45,146.5,14.4,26,-22.36,WHL J074830.4+484927,0.6078,s,2302.0,29.0,201.0,0.63,30.51,1.38,13.0
117.17415,17.58234,1.08719,26.6,352.0,,0.35,False,True,True,False,J074841.98+173458.5,,WISEA J074841.79+173456.4,s,"FR-II,WAT",87.27,61.8,0.45,158.1,101.8,42,,,,,,,,,,,
117.18795,23.4127,0.1901,25.74,167.0,,1.3,False,True,True,False,J074845.31+232445.8,f,WISEA J074845.10+232445.7,s,"FR-II,WAT",514.01,280.58,0.79,142.6,41.3,51,,AMF J074842.0+232525,0.3549,s,1441.0,58.0,299.0,0.581,15.49,0.72,6.0
117.28673,30.17153,2.31349,27.23,251.0,,0.15,False,True,True,False,J074909.08+301022.0,c,DESI J074908.82+301017.5,p,"FR-II,WAT",45.61,23.33,0.88,161.1,46.8,30,,,,,,,,,,,
117.33661,52.35089,0.06682,23.7,38.0,,1.05,True,False,False,True,J074921.31+522110.6,,2MASX J07492075+5221029,s,"FR-I,NAT",42.73,18.33,1.11,56.0,12.1,29,,WH J074915.2+521944,0.4155,p,1660.0,94.0,534.0,0.501,12.5,0.58,6.0
117.35439,17.36618,,,,,,False,False,True,False,J074925.05+172158.3,,,,"--,WAT",65.0,36.19,0.77,160.9,92.6,68,,,,,,,,,,,
117.3635,52.0424,0.06828,24.83,159.0,8.64,1.06,True,False,True,False,J074927.47+520218.7,j,MCG +09-13-062,s,"FR-I,WAT",544.75,212.89,1.23,123.3,27.3,118,-22.94,SPIDERS 1_02441,0.0778,p,340.0,0.0,0.0,,,,
117.47473,46.15267,,,,,,False,True,True,False,J074953.94+460909.6,,,,"FR-II,WAT",12.17,5.95,0.94,161.5,95.4,35,,,,,,,,,,,
117.5036,58.94956,0.40779,25.72,196.0,,,False,True,True,False,J075001.14+585652.9,,DESI J075000.86+585658.4,p,"FR-II,WAT",92.39,55.34,0.67,112.7,17.5,35,,Y21 J075000.9+585658,0.4251,p,1694.0,0.0,0.0,0.72,39.51,1.77,25.0
117.57628,58.69341,0.2336,24.87,177.0,,,True,False,True,False,J075018.50+584137.4,f,DESI J075018.31+584136.3,p,"FR-I,WAT",45.54,27.71,0.65,152.5,43.3,46,,Y21 J075018.3+584136,0.2404,p,1007.0,0.0,0.0,0.77,36.46,1.64,18.0
