RA,Dec,z,"L_rad,t",Size_rad,M_{BH},g-r,FRI,FRII,WAT,NAT,source_name,f_name,Host_name,f_z,Type,S1400MHz,S3000MHz,alpha,OA,Rc,LAS,Mr,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
117.62936,24.21082,0.39195,,307.0,,1.92,False,False,False,True,J075030.46+241243.6,,WISEA J075031.04+241238.9,s,"--,NAT",26.3,,,81.0,53.2,56,,WHL J075031.0+241239,0.392,s,1576.0,1.0,5.0,0.611,24.38,1.11,15.0
117.66178,57.49111,0.68,25.33,218.0,,,False,True,True,False,J075038.72+572929.3,,DESI J075038.83+572928.0,p,"FR-II,WAT",12.91,8.77,0.51,152.1,18.5,30,,,,,,,,,,,
117.7072,17.69436,0.18226,24.88,136.0,,1.26,False,True,False,True,J075050.36+174143.8,f,WISEA J075049.72+174139.6,s,"FR-II,NAT",78.75,46.31,0.7,79.6,13.6,43,,WHL J075053.0+174036,0.1886,s,800.0,79.0,258.0,1.232,151.59,6.54,115.0
117.7382,59.97561,,,,,,False,True,True,False,J075057.17+595832.2,,,,"FR-II,WAT",11.23,8.91,0.3,117.8,6.0,19,,,,,,,,,,,
117.78139,16.57551,0.67058,25.39,173.0,,1.93,False,True,True,False,J075107.44+163431.2,,DESI J075107.53+163431.8,p,"FR-II,WAT",14.42,9.17,0.59,162.5,34.2,24,,CFSFDP J075107.5+163432,0.6463,p,2422.0,0.0,0.0,0.556,24.25,1.1,11.0
117.82003,38.47594,0.26266,24.65,155.0,,1.54,False,True,True,False,J075116.80+382836.5,,WISEA J075116.80+382833.3,s,"FR-II,WAT",20.56,11.09,0.81,117.9,18.7,37,,WHL J075120.8+383103,0.2629,s,1094.0,157.0,660.0,0.54,10.35,0.53,6.0
117.86864,24.86718,0.38676,25.08,136.0,7.86,2.35,False,True,True,False,J075128.37+245204.0,a,SDSS J075128.47+245201.8,s,"FR-II,WAT",22.71,11.95,0.84,131.5,17.6,25,-23.58,WHL J075128.5+245201,0.3868,s,1557.0,1.0,5.0,0.79,39.38,1.77,35.0
118.09102,33.56363,0.1403,24.65,253.0,,1.15,False,True,False,True,J075221.47+333342.9,,WISEA J075221.84+333349.0,s,"FR-II,NAT",78.96,39.03,0.92,66.9,75.8,99,,CFSFDP J075221.8+333349,0.1403,s,603.0,0.0,0.0,0.59,16.56,0.76,12.0
118.09874,45.44121,0.81772,26.46,335.0,,1.12,False,True,True,False,J075223.81+452630.5,,DESI J075223.70+452628.4,p,"FR-II,WAT",102.71,60.66,0.69,147.2,30.8,43,,,,,,,,,,,
118.11899,37.84823,1.20739,27.53,384.0,,0.4,False,True,True,False,J075228.68+375058.5,"c,f",[HB89] 0749+379,s,"FR-II,WAT",380.26,175.87,1.01,141.8,31.0,45,,,,,,,,,,,
