Num,f_Num,Name,RA_hms,Dec_dms,RA,Dec,PosRef,z,f_z,F1400,F150,alpha,Lum,FR,Other
258,,J1321-0637,13:21:40.56,-06:37:11.5,200.41899999999995,-6.619861111111112,EE,,,16,,,,,1
259,ab,J1325+3419,13:25:23.51,+34:19:24.5,201.34795833333328,34.32347222222223,EE,,,23,,,,I,1
260,,J1327+0007,13:27:57.47,+00:07:47.4,201.9894583333333,0.1298333333333333,EE,,,56,,,,II,
261,,J1329-0511,13:29:23.93,-05:11:15.2,202.3497083333333,-5.187555555555556,EE,,,13,,,,I,1
262,c,J1333-0657,13:33:38.09,-06:57:56.4,203.4087083333333,-6.9656666666666665,EE,,,32,,,,II,
263,,J1333+0944,13:33:25.85,+09:44:31.9,203.3577083333333,9.742194444444443,SDSS,0.32,d,24,,,,I,1
264,c,J1333+5427,13:33:35.23,+54:27:43.5,203.39679166666667,54.46208333333334,2MASX,0.11,d,183,,,,II,"2, 6, 13"
265,,J1336+0047,13:36:05.49,+00:47:26.6,204.022875,0.7907222222222222,2MASX,0.27,d,59,185.0,-0.51,2.91,I,
266,,J1337-0803,13:37:32.72,-08:03:36.8,204.3863333333333,-8.060222222222222,EE,,,48,,,,,1
267,,J1339-0726,13:39:02.73,-07:26:43.4,204.761375,-7.445388888888889,EE,,,63,,,,,1
268,,J1340+5439,13:40:48.19,+54:39:49.4,205.20079166666665,54.66372222222222,EE,,,80,243.0,-0.5,,II,1
269,,J1341-0116,13:41:21.03,-01:16:14.3,205.337625,-1.2706388888888889,EE,,,25,,,,II,
270,,J1345-0451,13:45:22.29,-04:51:49.8,206.342875,-4.863833333333333,EE,,,61,,,,II,
271,,J1345+0855,13:45:04.67,+08:55:07.2,206.2694583333333,8.918666666666667,EE,,,14,,,,II,1
272,,J1345+3655,13:45:54.08,+36:55:03.1,206.4753333333333,36.91752777777778,EE,,,213,1383.0,-0.84,,,
273,,J1345+5332,13:45:46.01,+53:32:48.9,206.4417083333333,53.54691666666667,EE,,,434,,,,II,
274,,J1345+6110,13:45:03.06,+61:10:31.6,206.26275,61.175444444444445,SDSS,0.51,d,19,55.0,-0.47,4.1,I,
275,c,J1351-0548,13:51:20.54,-05:48:50.4,207.8355833333333,-5.814,EE,,,349,,,,,
276,,J1351+0712,13:51:44.72,+07:12:17.0,207.9363333333333,7.204722222222222,SDSS,,,126,1938.0,-1.19,,I,
277,,J1353-0732,13:53:30.31,-07:32:16.7,208.37629166666665,-7.537972222222222,2MASX,,,26,,,,II,1
278,,J1354+0528,13:54:42.27,+05:28:56.1,208.676125,5.4822500000000005,2MASX,0.08,d,40,112.0,-0.46,0.16,I,"1, 13, 15"
279,,J1355+1758,13:55:47.13,+17:58:45.0,208.946375,17.979166666666664,SDSS,0.33,d,29,52.0,-0.26,4.05,I,
280,,J1359+2808,13:59:05.03,+28:08:09.9,209.77095833333328,28.13608333333333,EE,,,75,383.0,-0.73,,I,
281,,J1401+0740,14:01:23.41,+07:40:40.1,210.34754166666664,7.6778055555555556,SDSS,0.27,d,16,43.0,-0.44,0.78,,1
282,c,J1401+2833,14:01:48.60,+28:33:17.9,210.4525,28.554972222222226,EE,,,105,157.0,-0.18,,II,
283,,J1401+3256,14:01:08.86,+32:56:00.5,210.28691666666663,32.93347222222222,EE,,,16,115.0,-0.88,,I,
284,,J1401+5654,14:01:09.98,+56:54:20.6,210.2915833333333,56.905722222222224,SDSS,,,43,,,,I,
285,,J1406+0211,14:06:05.67,+02:11:53.9,211.523625,2.1983055555555557,EE,,,15,45.0,-0.49,,I,1
286,,J1408+0511,14:08:53.71,+05:11:24.6,212.22379166666664,5.190166666666667,EE,,,8,,,,II,1
287,,J1408+4540,14:08:06.63,+45:40:54.6,212.027625,45.68183333333333,EE,,,10,,,,I,
288,,J1410-0636,14:10:55.79,-06:36:39.5,212.7324583333333,-6.610972222222222,EE,,,114,,,,I,
289,,J1410+5846,14:10:54.06,+58:46:55.4,212.72525,58.78205555555555,SDSS,0.48,d,45,201.0,-0.67,6.09,I,15
290,,J1411-0731,14:11:38.33,-07:31:43.6,212.9097083333333,-7.528777777777778,EE,,,51,,,,II,
291,,J1411+1048,14:11:29.33,+10:48:59.1,212.8722083333333,10.816416666666669,2MASX,0.16,d,28,106.0,-0.59,0.38,II,"1, 13"
292,,J1411+4535,14:11:10.93,+45:35:18.1,212.79554166666665,45.58836111111111,EE,,,37,86.0,-0.37,,,1
293,,J1412+0043,14:12:20.57,+00:43:14.9,213.0857083333333,0.7208055555555556,EE,,,9,,,,,
294,,J1412+0153,14:12:51.75,+01:53:51.4,213.215625,1.8976111111111111,EE,,,18,131.0,-0.89,,I,1
295,,J1412+0257,14:12:09.48,+02:57:51.8,213.0395,2.964388888888889,SDSS,,,23,,,,II,15
296,,J1412+2157,14:12:53.65,+21:57:43.9,213.22354166666665,21.96219444444444,EE,,,38,140.0,-0.58,,I,1
297,,J1415+2326,14:15:38.85,+23:26:50.7,213.91187499999995,23.447416666666665,EE,,,22,175.0,-0.93,,I,
298,,J1416+2147,14:16:13.79,+21:47:42.8,214.05745833333333,21.795222222222225,2MASX,0.19,d,11,,,,I,
299,,J1417+0114,14:17:52.89,+01:14:42.7,214.470375,1.2451944444444445,SDSS,0.38,d,13,,,,I,
300,,J1419+4657,14:19:40.16,+46:57:29.9,214.9173333333333,46.95830555555556,SDSS,0.48,d,67,362.0,-0.75,8.27,I,
301,c,J1420-0622,14:20:31.37,-06:22:43.4,215.1307083333333,-6.378722222222222,EE,,,26,,,,,
302,,J1422+0825,14:22:58.90,+08:25:18.8,215.74541666666664,8.421888888888889,EE,,,16,,,,I,
303,,J1424+0025,14:24:20.20,+00:25:34.0,216.08416666666665,0.4261111111111111,EE,,,158,714.0,-0.67,,I,8
304,b,J1424+0403,14:24:46.46,+04:03:45.6,216.1935833333333,4.062666666666667,SDSS,0.36,d,20,,,,II,
305,,J1425+5545,14:25:47.10,+55:45:26.1,216.44625,55.75725,EE,,,47,280.0,-0.8,,,1
306,,J1426+4102,14:26:39.46,+41:02:48.9,216.66441666666665,41.04691666666667,SDSS,0.36,d,41,,,,I,
307,a,J1429+2336,14:29:19.16,+23:36:16.7,217.3298333333333,23.60463888888889,SDSS,,,83,,,,II,
308,b,J1433+1913,14:33:20.47,+19:13:29.0,218.33529166666665,19.22472222222222,2MASX,0.21,d,23,,,,II,"1, 13"
309,,J1435+5507,14:35:28.46,+55:07:52.1,218.86858333333333,55.13113888888889,2MASX,0.14,d,480,3017.0,-0.82,3.59,II,"2, 6, 13, 16"
310,,J1437+1950,14:37:37.96,+19:50:11.9,219.40816666666663,19.83663888888889,EE,,,70,274.0,-0.61,,II,
311,,J1438+0926,14:38:07.58,+09:26:11.7,219.5315833333333,9.436583333333331,SDSS,0.33,d,60,213.0,-0.57,4.16,II,
312,,J1438+4753,14:38:40.48,+47:53:56.8,219.66866666666664,47.89911111111111,SDSS,,,47,,,,II,
313,,J1440+1342,14:40:02.86,+13:42:17.9,220.01191666666665,13.70497222222222,SDSS,,,11,,,,II,
314,,J1443-0111,14:43:47.49,-01:11:36.9,220.94787499999995,-1.1935833333333334,EE,,,8,,,,I,
315,,J1443+5201,14:43:02.78,+52:01:37.3,220.7615833333333,52.027027777777775,EE,0.14,d,2541,,,,I,"1, 2, 10, 14"
316,,J1444-0311,14:44:57.45,-03:11:51.3,221.239375,-3.197583333333333,EE,,,370,,,,II,
317,,J1444-0542,14:44:29.96,-05:42:48.8,221.1248333333333,-5.713555555555556,EE,,,70,,,,I,
318,a,J1445+2951,14:45:12.73,+29:51:36.9,221.30304166666664,29.86025,EE,,,30,141.0,-0.69,,I,1
319,,J1445+6357,14:45:38.45,+63:57:33.8,221.4102083333333,63.95938888888889,SDSS,0.3,d,22,123.0,-0.77,0.92,II,
320,,J1446+1402,14:46:33.83,+14:02:11.9,221.6409583333333,14.03663888888889,2MASX,0.12,d,22,,,78.17,I,"1, 13"
321,,J1446+4319,14:46:00.93,+43:19:12.8,221.503875,43.32022222222223,SDSS,,,8,51.0,0.83,,,
322,,J1448+5944,14:48:38.85,+59:44:52.0,222.161875,59.74777777777778,2MASX,0.28,d,130,465.0,-0.57,6.2,II,
323,c,J1450+1447,14:50:01.50,+14:47:47.7,222.50625,14.796583333333333,2MASX,0.3,d,90,,,,II,1
